Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre,Month
The Adjustment Bureau,Uni.,62495645,2847,21157730,2840,3/4/2011,George Nolfi,Matt Damon,7,Science Fiction,3
The Adventures of Rocky & Bullwinkle,Uni.,26005820,2482,6814270,2460,6/30/2000,Des McAnuff,Robert De Niro,4,Action,6
The Adventures of Tintin,Par.,77591831,3087,9720993,3087,12/21/2011,Steven Spielberg,Jamie Bell,7,Adventure,12
The Age of Adaline,LGF,42629776,3070,13203458,2991,4/24/2015,Lee Toland Krieger,Blake Lively,7,Fantasy,4
The Amazing Spider-Man,Sony,262030663,4318,62004688,4318,7/3/2012,Marc Webb,Andrew Garfield,7,Action,7
The Amazing Spider-Man 2,Sony,202853933,4324,91608337,4324,5/2/2014,Marc Webb,Andrew Garfield,6,Action,5
The American,Focus,35606376,2833,13177790,2823,9/1/2010,Anton Corbijn,George Clooney,6,Crime,9
The Angry Birds Movie,Sony,107509366,3932,38155177,3932,5/20/2016,Clay Kaytis,Jason Sudeikis,6,Animation,5
The Animal,SonR,57743062,2788,19610520,2788,6/1/2001,Luke Greenfield,Rob Schneider,5,Comedy,6
The Ant Bully,WB,28142535,3050,8432465,3050,7/28/2006,John A. Davis,Paul Giamatti,6,Fantasy,7
The Art of War,WB,30208599,2630,10410993,2630,8/25/2000,Christian Duguay,Wesley Snipes,6,Crime,8
The Artist,Wein.,44671682,1756,204878,4,11/25/2011,Michel Hazanavicius,Jean Dujardin,7,Drama,11
The A-Team,Fox,77222099,3544,25669455,3535,6/11/2010,Joe Carnahan," 
Liam Neeson",6,Thriller,6
The Aviator,Mira.,102610330,2530,858021,40,12/17/2004,Martin Scorsese,Leonardo DiCaprio,7,Drama,12
The Bachelor,NL,21760240,2524,7480288,2522,11/5/1999,Gary Sinyor,Chris ODonnell,5,Comedy,11
The Back-Up Plan,CBS,37490007,3280,12201710,3280,4/23/2010,Alan Poul,Jennifer Lopez,6,Comedy,4
The Banger Sisters,FoxS,30307416,2739,10037846,2738,9/20/2002,Bob Dolman,Susan Sarandon,6,Comedy,9
The Bank Job,LGF,30060660,1613,5935256,1603,3/7/2008, Roger Donaldson,Jason Statham,3,Action,3
The Beach,Fox,39785027,2587,15277921,2547,2/11/2000,Danny Boyle,Leonardo DiCaprio,6,Drama,2
The Benchwarmers,SonR,59843754,3282,19656429,3274,4/7/2006,Dennis Dugan,David Spade,5,Comedy,4
The Best Exotic Marigold Hotel,FoxS,46412041,1298,737051,27,5/4/2012,John Madden,Judi Dench,7,Drama,5
The Best Man,Uni.,34102780,1348,9031660,1346,10/22/1999,Malcolm D. Lee,Taye Diggs,7,Drama,10
The Best Man Holiday,Uni.,70525195,2041,30107555,2024,11/15/2013,Malcolm D. Lee,Monica Calhoun,7,Comedy,11
The Best of Me,Rela.,26766213,2936,10003827,2936,10/17/2014,Michael Hoffman,James Marsden,7,Drama,10
The BFG,BV,55483770,3392,18775350,3357,7/1/2016,Steven Spielberg,Mark Rylance,6,Adventure,7
The Big Short,Par.,70259870,2529,705527,8,12/11/2015,Adam McKay,Christian Bale,7,Comedy,12
The Big Sick,LGF,42873127,2597,421577,5,6/23/2017,Michael Showalter,Kumail Nanjiani,8,Comedy,6
The Blair Witch Project,Art.,140539099,2538,1512054,27,7/16/1999,Daniel Myrick,Heather Donahue,6,Horror,7
The Blind Side,WB,255959475,3407,34119372,3110,11/20/2009,John Lee Hancock,Sandra Bullock,8,Drama,11
The Bone Collector,Uni.,66518655,2623,16712020,2587,11/5/1999,Philip Noyce,Denzel Washington,7,Drama,11
The Book of Eli,WB,94835059,3111,32789494,3111,1/15/2010, The Hughes Brothers," 
Denzel Washington",7,Action,1
The Boss,Uni.,63285885,3495,23586645,3480,4/8/2016,Ben Falcone,Melissa McCarthy,6,Comedy,4
The Boss Baby,Fox,175003033,3829,50198902,3773,3/31/2017,Tom McGrath,Alec Baldwin,6,Animation,3
The Bounty Hunter,Sony,67061228,3118,20686423,3074,3/19/2010,Andy Tennant," 
Jennifer Aniston",6,Action,3
The Bourne Identity,Uni.,121661683,2663,27118640,2638,6/14/2002,Doug Liman,Franka Potente,7,Action,6
The Bourne Legacy,Uni.,113203870,3753,38142825,3745,8/10/2012,Tony Gilroy,Jeremy Renner,6,Action,8
The Bourne Supremacy,Uni.,176241941,3304,52521865,3165,7/23/2004,Paul Greengrass,Matt Damon,7,Action,7
The Bourne Ultimatum,Uni.,227471070,3701,69283690,3660,8/3/2007,Paul Greengrass,Matt Damon,7,Action,8
The Boxtrolls,Focus,50837305,3464,17275239,3464,9/26/2014,Graham Annable,Ben Kingsley,7,Animation,9
The Boy Next Door,Uni.,35423380,2615,14910105,2602,1/23/2015,Rob Cohen,Jennifer Lopez,5,Crime,1
The Brave One,WB,36793804,2837,13471488,2755,9/14/2007,Neil Jordan,Jodie Foster,6,Crime,9
The Break-Up,Uni.,118703275,3146,39172785,3070,6/2/2006,Peyton Reed,Jennifer Aniston,6,Romance,6
The Brothers,SGem,27457409,1378,10302846,1378,3/23/2001,Gary Hardwick,Morris Chestnut,7,Comedy,3
The Brothers Grimm,Dim.,37916267,3098,15092079,3087,8/26/2005,Terry Gilliam,Matt Damon,6,Adventure,8
The Bucket List,WB,93466502,2915,335837,16,12/25/2007,Rob Reiner,Jack Nicholson,7,Drama,12
The Butterfly Effect,NL,57938693,2605,17065227,2605,1/23/2004,Eric Bress,Ashton Kutcher,8,Science Fiction,1
The Bye Bye Man,STX,22395806,2220,13501349,2220,1/13/2017,Stacy Title,Douglas Smith,5,Horror,1
The Cabin in the Woods,LGF,42073277,2811,14743614,2811,4/13/2012,Drew Goddard,Kristen Connolly,7,Horror,4
The Call,TriS,51872378,2507,17118745,2507,3/15/2013,Brad Anderson,Halle Berry,4,Thriller,3
The Campaign,WB,86907746,3302,26588460,3205,8/10/2012,Jay Roach,Will Ferrell,6,Comedy,8
The Cat in the Hat,Uni.,101149285,3467,38329160,3464,11/21/2003,Bo Welch,Mike Myers,5,Fantasy,11
The Cell,NL,61334059,2476,17515050,2411,8/18/2000,Tarsem Singh,Jennifer Lopez,6,Horror,8
The Change-Up,Uni.,37081475,2913,13531115,2913,8/5/2011,David Dobkin,Jason Bateman,6,Comedy,8
The Chronicles of Narnia: Prince Caspian,BV,141621490,3929,55034805,3929,5/16/2008, Andrew Adamson," 
William Moseley",7,Adventure,5
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104386950,3555,24005069,3555,12/10/2010,Michael Apted," 
Skandar Keynes",6,Adventure,12
The Chronicles of Riddick,Uni.,57761012,2757,24289165,2757,6/11/2004,David Twohy,Vin Diesel,6,Action,6
The Cider House Rules,Mira.,57545092,1738,110098,8,12/10/1999,Lasse Hallström ,Tobey Maguire,7,Drama,12
The Commuter,LGF,36343858,2892,13701452,2892,1/12/2018,Jaume Collet-Serra,Liam Neeson,6,Action,1
The Conjuring,WB (NL),137400141,3115,41855326,2903,7/19/2013,James Wan,Patrick Wilson,8,Horror,7
The Conjuring 2,WB (NL),102470008,3356,40406314,3343,6/10/2016,James Wan,Vera Farmiga,7,Horror,6
The Constant Gardener,Focus,33579797,1387,8673803,1346,8/31/2005,Fernando Meirelles,Ralph Fiennes,7,Drama,8
The Core,Par.,31186896,3019,12053131,3017,3/28/2003,Jon Amiel,Aaron Eckhart,6,Action,3
The Corruptor,NL,15164492,1804,5765300,1804,3/12/1999,James Foley,Yun-Fat Chow,6,Action,3
The Count of Monte Cristo,BV,54234062,2211,11376150,2007,1/25/2002,Kevin Reynolds,Jim Caviezel,7,Action,1
The Crazies,Over.,39123589,2479,16067552,2476,2/26/2010,Breck Eisner, Timothy Olyphant,6,Mystery,2
The Crocodile Hunter: Collision Course,MGM,28442574,2535,9537123,2525,7/12/2002,John Stainton,Steve Irwin,5,Family,7
The Croods,Fox,187168425,4065,43639736,4046,3/22/2013,Kirk DeMicco,Nicolas Cage,7,Action,3
The Curious Case of Benjamin Button,Par.,127509326,2988,26853816,2988,12/25/2008, David Fincher," 
Brad Pitt",8,Fantasy,12
The Da Vinci Code,Sony,217536138,3757,77073388,3735,5/19/2006,Ron Howard,Tom Hanks,7,Thriller,5
The Dark Knight,WB,533345358,4366,158411483,4366,7/18/2008,Christopher Nolan," 
Christian Bale",8,Drama,7
The Dark Knight Rises,WB,448139099,4404,160887295,4404,7/20/2012,Christopher Nolan,Christian Bale,8,Action,7
The Dark Tower,Sony,50701325,3451,19153698,3451,8/4/2017,Nikolaj Arcel,Idris Elba,6,Action,8
The Day After Tomorrow,Fox,186740799,3444,68743584,3425,5/28/2004,Roland Emmerich,Dennis Quaid,6,Action,5
The Debt,Focus,31177548,1874,9909499,1826,8/31/2011,John Madden,Helen Mirren,7,Drama,8
The Departed,WB,132384315,3017,26887467,3017,10/6/2006,Martin Scorsese,Leonardo DiCaprio,8,Drama,10
The Descendants,FoxS,82584160,2038,1190096,29,11/16/2011,Alexander Payne,George Clooney,7,Comedy,11
The Devil Inside,Par.,53261944,2551,33732515,2285,1/6/2012,William Brent Bell,Fernanda Andrade,5,Thriller,1
The Devil Wears Prada,Fox,124740460,2882,27537244,2847,6/30/2006,David Frankel,Anne Hathaway,7,Comedy,6
The Dictator,Par.,59650222,3014,17435092,3008,5/16/2012,Larry Charles,Sacha Baron Cohen,4,Comedy,5
The Dilemma,Uni.,48475290,2943,17816230,2940,1/14/2011,Ron Howard,Vince Vaughn,5,Comedy,1
The DUFF,LGF,34030343,2622,10809149,2575,2/20/2015,Ari Sandel,Mae Whitman,7,Romance,2
The Dukes of Hazzard,WB,80270227,3785,30675314,3785,8/5/2005,Jay Chandrasekhar,Seann William Scott,5,Action,8
The Emoji Movie,Sony,86089513,4075,24531923,4075,7/28/2017,Tony Leondis,T.J. Miller,5,Animation,7
The Equalizer,Sony,101530738,3236,34137828,3236,9/26/2014,Antoine Fuqua,Denzel Washington,7,Thriller,9
The Equalizer 2,Sony,102084362,3388,36011640,3388,7/20/2018,Antoine Fuqua,Denzel Washington,6,Thriller,7
The Exorcism of Emily Rose,SGem,75072454,3045,30054300,2981,9/9/2005,Scott Derrickson,Laura Linney,6,Crime,9
The Expendables,LGF,103068524,3398,34825135,3270,8/13/2010,Sylvester Stallone, Sylvester Stallone,6,Thriller,8
The Expendables 2,LGF,85028192,3355,28591370,3316,8/17/2012,Simon West,Sylvester Stallone,6,Action,8
The Expendables 3,LGF,39322544,3221,15879645,3221,8/15/2014,Patrick Hughes,Sylvester Stallone,6,Action,8
The Eye,LGF,31418697,2470,12425776,2436,2/1/2008, David Moreau, Jessica Alba,7,Horror,2
The Family Man,Uni.,75793305,2441,10554960,2388,12/22/2000,Brett Ratner,Nicolas Cage,7,Comedy,12
The Family Stone,Fox,60062868,2469,12521027,2466,12/16/2005,Thomas Bezucha,Dermot Mulroney,6,Comedy,12
The Fast and the Furious,Uni.,144533925,2899,40089015,2628,6/22/2001,Rob Cohen,Vin Diesel,7,Action,6
The Fast and the Furious: Tokyo Drift,Uni.,62514415,3030,23973840,3027,6/16/2006,Justin Lin,Lucas Black,6,Action,6
The Fate of the Furious,Uni.,226008385,4329,98786705,4310,4/14/2017,F. Gary Gray,Vin Diesel,7,Action,4
The Fault in our Stars,Fox,124872350,3340,48002523,3173,6/6/2014,Josh Boone,Shailene Woodley,8,Romance,6
The Favourite,FoxS,34239606,1554,422410,4,11/23/2018,Yorgos Lanthimos,Olivia Colman,8,Drama,11
The Fighter,Par.,93617009,2534,300010,4,12/10/2010,David O. Russell," 
Mark Wahlberg",8,Drama,12
The Fighting Temptations,Par.,30250745,2026,11758372,2026,9/19/2003,Jonathan Lynn,Cuba Gooding Jr.,6,Comedy,9
The Final Destination,WB (NL),66477700,3121,27408309,3121,8/28/2009, David R. Ellis, Bobby Campo,6,Horror,8
The Finest Hours,BV,27569558,3143,10288932,3143,1/29/2016,Craig Gillespie,Chris Pine,6,Action,1
The First Purge,Uni.,69488745,3038,17374280,3031,7/4/2018,Gerard McMurray,Ylan Noel,6,Action,7
The Five-Year Engagement,Uni.,28835528,2941,10610060,2936,4/27/2012,Nicholas Stoller,Jason Segel,6,Romance,4
The Flintstones in Viva Rock Vegas,Uni.,35268275,3125,10518435,3040,4/28/2000,Brian Levant,Mark Addy,5,Comedy,4
The Forbidden Kingdom,LGF,52075270,3151,21401121,3151,4/18/2008, Rob Minkoff," 
Jackie Chan",6,Action,4
The Foreigner,STX,34393507,2515,13113024,2515,10/13/2017,Martin Campbell,Katie Leung,4,Action,10
The Forest,Focus,26594261,2509,12741176,2451,1/8/2016,Jason Zada,Natalie Dormer,5,Drama,1
The Forgotten,SonR,67133509,3144,21022111,3104,9/24/2004,Joseph Ruben,Julianne Moore,6,Crime,9
The Fourth Kind,Uni.,25486040,2530,12231160,2527,11/6/2009,Olatunde Osunsanmi,Milla Jovovich,6,Mystery,11
The Gallows,WB (NL),22764410,2720,9808463,2720,7/10/2015,Travis Cluff,Reese Mishler,5,Horror,7
The Gambler,Par.,33680992,2494,9129999,2478,12/25/2014,Rupert Wyatt,Mark Wahlberg,6,Drama,12
The Game Plan,BV,90648202,3342,22950971,3103,9/28/2007,Andy Fickman,"Dwayne ""The Rock"" ",6,Comedy,9
The Giver,Wein.,45090374,3003,12305016,3003,8/15/2014,Phillip Noyce,Brenton Thwaites,7,Drama,8
The Golden Compass,NL,70107728,3528,25783232,3528,12/7/2007,Chris Weitz,Nicole Kidman,6,Adventure,12
The Good Dinosaur,BV,123087120,3749,39155217,3749,11/25/2015,Peter Sohn,Jeffrey Wright,7,Adventure,11
The Good Shepherd,Uni.,59952835,2250,9912110,2215,12/22/2006,Robert De Niro,Matt Damon,5,Drama,12
The Grand Budapest Hotel,FoxS,59301324,1467,811166,4,3/7/2014,Wes Anderson,Ralph Fiennes,8,Comedy,3
The Great Debaters,MGM/W,30236407,1290,6005180,1171,12/25/2007,Denzel Washington,Denzel Washington,7,Drama,12
The Great Wall,Uni.,45540830,3328,18469620,3326,2/17/2017,Yimou Zhang,Matt Damon,6,Documentary,2
The Greatest Showman,Fox,174340174,3342,8805843,3006,12/20/2017,Michael Gracey,Hugh Jackman,8,Drama,12
The Green Hornet,Sony,98780042,3584,33526876,3584,1/14/2011,Michel Gondry,Seth Rogen,6,Action,1
The Green Mile,WB,136801374,2875,18017152,2875,12/10/1999,Frank Darabont,Tom Hanks,8,Fantasy,12
The Grey,ORF,51580236,3208,19665101,3185,1/27/2012,Joe Carnahan,Liam Neeson,7,Drama,1
The Grudge,Sony,110359362,3348,39128715,3245,10/22/2004,Takashi Shimizu,Sarah Michelle Gellar,6,Horror,10
The Grudge 2,Sony,39143839,3214,20825300,3211,10/13/2006,Takashi Shimizu,Amber Tamblyn,5,Horror,10
The Guardian,BV,55011732,3241,18006064,3241,9/29/2006,Andrew Davis,Kevin Costner,7,Action,9
The Guilt Trip,Par.,37134215,2431,5290629,2431,12/19/2012,Anne Fletcher,Barbra Streisand,5,Comedy,12
The Hangover,WB,277322503,3545,44979319,3269,6/5/2009,Todd Phillips,Bradley Cooper,7,Comedy,6
The Hangover Part II,WB,254464305,3675,85946294,3615,5/26/2011,Todd Phillips,Bradley Cooper,6,Comedy,5
The Hangover Part III,WB,112200072,3565,41671198,3555,5/23/2013,Todd Phillips,Bradley Cooper,6,Comedy,5
The Happening,Fox,64506874,2986,30517109,2986,6/13/2008, M. Night Shyamalan," 
Mark Wahlberg",5,Thriller,6
The Hate U Give,Fox,29719483,2375,512035,36,10/5/2018,George Tillman Jr.,Amandla Stenberg,7,Crime,10
The Hateful Eight,Wein.,54117416,2938,4610676,100,12/25/2015,Quentin Tarantino,Samuel L. Jackson,8,Crime,12
The Haunted Mansion,BV,75847266,3122,24278410,3122,11/26/2003,Rob Minkoff,Eddie Murphy,5,Thriller,11
The Haunting,DW,91411151,2881,33435140,2808,7/23/1999,Jan de Bont,Liam N eeson,5,Horror,7
The Haunting in Connecticut,LGF,55389516,2732,23004765,2732,3/27/2009,Peter Cornwell, Virginia Madsen,6,Thriller,3
The Heartbreak Kid,P/DW,36787257,3233,14022105,3229,10/5/2007,Peter Farrelly,Ben Stiller,6,Comedy,10
The Heat,Fox,159582188,3184,39115043,3181,6/28/2013,Paul Feig,Sandra Bullock,4,Comedy,6
The Help,BV,169708112,3014,26044590,2534,8/10/2011,Tate Taylor,Emma Stone,8,Drama,8
The Hills Have Eyes,FoxS,41778863,2621,15708512,2620,3/10/2006,Alexandre Aja,Ted Levine,6,Horror,3
The Hobbit: An Unexpected Journey,WB (NL),303003568,4100,84617303,4045,12/14/2012,Peter Jackson,Martin Freeman,7,Adventure,12
The Hobbit: The Battle of the Five Armies,WB (NL),255119788,3875,54724334,3875,12/17/2014,Peter Jackson,Ian McKellen,7,Action,12
The Hobbit: The Desolation of Smaug,WB (NL),258366855,3928,73645197,3903,12/13/2013,Peter Jackson,Ian McKellen,8,Adventure,12
The Holiday,Sony,63224849,2698,12778913,2610,12/8/2006,Nancy Meyers,Kate Winslet,7,Comedy,12
The Hot Chick,BV,35081594,2246,7401146,2217,12/13/2002,Tom Brady,Rob Schneider,6,Comedy,12
The Hours,Par.,41675994,1010,338622,11,12/27/2002,Stephen Daldry,Meryl Streep,7,Drama,12
The House,WB (NL),25584504,3134,8724795,3134,6/30/2017,Andrew Jay Cohen,Will Ferrell,6,Comedy,6
The House Bunny,Sony,48237389,2763,14533702,2714,8/22/2008,Fred Wolf, Anna Faris,6,Romance,8
The House With A Clock In Its Walls,Uni.,68549695,3592,26608020,3592,9/21/2018,Eli Roth,Jack Black,6,Fantasy,9
The Hundred-Foot Journey,BV,54240821,2167,10979290,2023,8/8/2014,Lasse Hallström,Helen Mirren,7,Drama,8
The Hunger Games,LGF,408010692,4137,152535747,4137,3/23/2012,Gary Ross,Jennifer Lawrence,7,Science Fiction,3
